,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
115,Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,es La Liga,22,2000,2,1,98,1.1,0.00,0.00,0.00,0.00,0,0,0,0
116,José Antonio,es ESP,"MF,DF",Cádiz,es La Liga,18,2004,2,0,46,0.5,0.00,1.96,1.96,0.00,0,0,0,0
117,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22,2000,16,6,594,6.6,0.15,0.15,0.30,0.15,0,0,2,0
118,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32,1990,33,21,"1,829",20.3,0.25,0.15,0.39,0.25,0,0,2,0
119,Antony,br BRA,FW,Manchester Utd,eng Premier League,22,2000,25,23,"1,802",20.0,0.20,0.10,0.30,0.20,0,0,5,0
120,Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,9,2,306,3.4,0.00,0.00,0.00,0.00,0,0,2,0
121,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,28,1994,29,22,"1,981",22.0,0.14,0.27,0.41,0.14,0,0,2,0
122,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,27,1995,3,3,210,2.3,0.43,0.00,0.43,0.43,0,0,1,0
123,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,24,1998,16,6,526,5.8,0.17,0.17,0.34,0.17,0,0,2,0
124,Adil Aouchiche,fr FRA,MF,Lorient,fr Ligue 1,20,2002,11,1,250,2.8,0.00,0.00,0.00,0.00,0,0,0,0
125,Dennis Appiah,fr FRA,"DF,MF",Nantes,fr Ligue 1,30,1992,15,9,795,8.8,0.00,0.00,0.00,0.00,0,0,1,0
126,Stredair Appuah,fr FRA,"DF,MF",Nantes,fr Ligue 1,18,2004,5,0,66,0.7,0.00,0.00,0.00,0.00,0,0,0,0
127,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,26,1995,13,13,992,11.0,0.00,0.09,0.09,0.00,0,0,5,1
128,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33,1989,10,4,493,5.5,0.18,0.00,0.18,0.18,0,0,1,0
129,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,22,21,"1,800",20.0,0.00,0.10,0.10,0.00,0,0,5,1
130,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,21,2001,6,0,49,0.5,0.00,0.00,0.00,0.00,0,0,0,0
131,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,18,2003,4,1,128,1.4,0.00,0.00,0.00,0.00,0,0,0,0
132,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,5,2,309,3.4,0.00,0.00,0.00,0.00,0,0,0,0
